Timestamp,Constituency_No,Party,Sentiment,Platform,Comment
09-02-2025,1,Congress,Negative,YouTube,Congress is facing challenges in 1
28-01-2025,1,DMK,Neutral,YouTube,DMK is neutral in 1
09-01-2025,1,BJP,Positive,YouTube,BJP is gaining in 1
01-02-2025,1,Congress,Neutral,YouTube,Congress is neutral in 1
26-10-2024,1,BJP,Negative,YouTube,BJP is facing challenges in 1
20-02-2025,1,TVK,Negative,YouTube,TVK is facing challenges in 1
06-10-2024,1,DMK,Negative,Twitter,DMK is facing challenges in 1
22-02-2025,1,ADMK,Negative,Twitter,ADMK is facing challenges in 1
03-10-2024,1,Congress,Negative,YouTube,Congress is facing challenges in 1
06-01-2025,1,DMK,Negative,YouTube,DMK is facing challenges in 1
30-10-2024,1,Congress,Negative,Twitter,Congress is facing challenges in 1
02-01-2025,1,Congress,Neutral,Twitter,Congress is neutral in 1
19-11-2024,1,Congress,Positive,YouTube,Congress is gaining in 1
17-01-2025,1,DMK,Neutral,Twitter,DMK is neutral in 1
29-11-2024,1,TVK,Positive,YouTube,TVK is gaining in 1
14-11-2024,1,TVK,Negative,YouTube,TVK is facing challenges in 1
02-12-2024,1,BJP,Negative,Twitter,BJP is facing challenges in 1
24-12-2024,1,BJP,Negative,YouTube,BJP is facing challenges in 1
24-01-2025,1,ADMK,Negative,Twitter,ADMK is facing challenges in 1
03-02-2025,1,ADMK,Negative,Twitter,ADMK is facing challenges in 1
28-01-2025,1,ADMK,Negative,YouTube,ADMK is facing challenges in 1
26-10-2024,1,Congress,Negative,Twitter,Congress is facing challenges in 1
09-01-2025,1,DMK,Negative,Twitter,DMK is facing challenges in 1
10-11-2024,1,BJP,Neutral,YouTube,BJP is neutral in 1
01-01-2025,1,TVK,Positive,YouTube,TVK is gaining in 1
20-12-2024,1,BJP,Positive,YouTube,BJP is gaining in 1
12-12-2024,1,DMK,Neutral,Twitter,DMK is neutral in 1
12-12-2024,1,DMK,Negative,YouTube,DMK is facing challenges in 1
12-12-2024,1,BJP,Negative,Twitter,BJP is facing challenges in 1
30-10-2024,1,BJP,Negative,Twitter,BJP is facing challenges in 1
02-12-2024,1,Congress,Negative,Twitter,Congress is facing challenges in 1
08-12-2024,1,ADMK,Negative,YouTube,ADMK is facing challenges in 1
06-01-2025,1,BJP,Negative,Twitter,BJP is facing challenges in 1
12-10-2024,1,ADMK,Negative,Twitter,ADMK is facing challenges in 1
02-01-2025,1,TVK,Positive,YouTube,TVK is gaining in 1
10-10-2024,1,ADMK,Negative,Twitter,ADMK is facing challenges in 1
21-01-2025,1,ADMK,Negative,Twitter,ADMK is facing challenges in 1
06-02-2025,1,ADMK,Negative,YouTube,ADMK is facing challenges in 1
14-12-2024,1,DMK,Positive,YouTube,DMK is gaining in 1
24-11-2024,1,Congress,Neutral,Twitter,Congress is neutral in 1
03-11-2024,1,DMK,Negative,Twitter,DMK is facing challenges in 1
23-11-2024,1,DMK,Positive,YouTube,DMK is gaining in 1
16-01-2025,1,ADMK,Positive,YouTube,ADMK is gaining in 1
01-12-2024,1,TVK,Negative,Twitter,TVK is facing challenges in 1
17-02-2025,1,TVK,Negative,Twitter,TVK is facing challenges in 1
18-01-2025,1,TVK,Positive,Twitter,TVK is gaining in 1
25-01-2025,1,TVK,Positive,YouTube,TVK is gaining in 1
05-10-2024,1,Congress,Positive,YouTube,Congress is gaining in 1
22-01-2025,1,TVK,Positive,YouTube,TVK is gaining in 1
02-02-2025,1,BJP,Negative,Twitter,BJP is facing challenges in 1
04-12-2024,1,BJP,Positive,Twitter,BJP is gaining in 1
29-01-2025,1,ADMK,Negative,YouTube,ADMK is facing challenges in 1
13-02-2025,1,Congress,Positive,Twitter,Congress is gaining in 1
27-10-2024,1,ADMK,Positive,Twitter,ADMK is gaining in 1
26-01-2025,1,DMK,Negative,Twitter,DMK is facing challenges in 1
25-11-2024,1,ADMK,Positive,Twitter,ADMK is gaining in 1
14-11-2024,1,ADMK,Neutral,Twitter,ADMK is neutral in 1
29-01-2025,1,BJP,Negative,Twitter,BJP is facing challenges in 1
28-10-2024,1,BJP,Positive,Twitter,BJP is gaining in 1
12-01-2025,1,ADMK,Positive,Twitter,ADMK is gaining in 1
11-12-2024,1,DMK,Negative,YouTube,DMK is facing challenges in 1
02-12-2024,1,BJP,Negative,YouTube,BJP is facing challenges in 1
12-12-2024,1,ADMK,Neutral,Twitter,ADMK is neutral in 1
25-10-2024,1,ADMK,Negative,YouTube,ADMK is facing challenges in 1
31-12-2024,1,TVK,Positive,Twitter,TVK is gaining in 1
11-11-2024,1,ADMK,Positive,Twitter,ADMK is gaining in 1
20-01-2025,1,DMK,Positive,YouTube,DMK is gaining in 1
22-01-2025,1,TVK,Positive,Twitter,TVK is gaining in 1
26-02-2025,1,ADMK,Negative,YouTube,ADMK is facing challenges in 1
31-12-2024,1,BJP,Negative,Twitter,BJP is facing challenges in 1
04-10-2024,1,DMK,Neutral,Twitter,DMK is neutral in 1
14-01-2025,1,DMK,Negative,Twitter,DMK is facing challenges in 1
12-12-2024,1,ADMK,Positive,YouTube,ADMK is gaining in 1
31-10-2024,1,TVK,Positive,Twitter,TVK is gaining in 1
29-11-2024,1,ADMK,Neutral,YouTube,ADMK is neutral in 1
10-12-2024,1,DMK,Positive,YouTube,DMK is gaining in 1
20-02-2025,1,ADMK,Negative,Twitter,ADMK is facing challenges in 1
11-02-2025,1,Congress,Negative,YouTube,Congress is facing challenges in 1
26-11-2024,1,TVK,Positive,YouTube,TVK is gaining in 1
02-11-2024,1,BJP,Positive,Twitter,BJP is gaining in 1
12-10-2024,1,ADMK,Positive,YouTube,ADMK is gaining in 1
14-11-2024,1,TVK,Positive,YouTube,TVK is gaining in 1
18-12-2024,1,TVK,Positive,YouTube,TVK is gaining in 1
04-02-2025,1,TVK,Positive,YouTube,TVK is gaining in 1
27-12-2024,1,ADMK,Positive,YouTube,ADMK is gaining in 1
24-11-2024,1,DMK,Negative,YouTube,DMK is facing challenges in 1
11-11-2024,1,Congress,Negative,YouTube,Congress is facing challenges in 1
17-11-2024,1,ADMK,Negative,YouTube,ADMK is facing challenges in 1
06-12-2024,1,Congress,Negative,Twitter,Congress is facing challenges in 1
05-12-2024,1,BJP,Negative,Twitter,BJP is facing challenges in 1
08-10-2024,1,DMK,Negative,YouTube,DMK is facing challenges in 1
14-02-2025,1,ADMK,Positive,YouTube,ADMK is gaining in 1
06-10-2024,1,Congress,Negative,Twitter,Congress is facing challenges in 1
15-02-2025,1,TVK,Positive,YouTube,TVK is gaining in 1
08-12-2024,1,TVK,Neutral,YouTube,TVK is neutral in 1
04-02-2025,1,ADMK,Negative,Twitter,ADMK is facing challenges in 1
08-12-2024,1,Congress,Negative,Twitter,Congress is facing challenges in 1
25-11-2024,1,Congress,Positive,YouTube,Congress is gaining in 1
11-12-2024,1,ADMK,Negative,YouTube,ADMK is facing challenges in 1
18-10-2024,1,TVK,Positive,YouTube,TVK is gaining in 1
29-12-2024,1,BJP,Negative,Twitter,BJP is facing challenges in 1
20-10-2024,1,Congress,Neutral,Twitter,Congress is neutral in 1
18-02-2025,1,DMK,Neutral,YouTube,DMK is neutral in 1
30-11-2024,1,ADMK,Negative,Twitter,ADMK is facing challenges in 1
18-10-2024,1,BJP,Negative,YouTube,BJP is facing challenges in 1
30-10-2024,1,BJP,Neutral,Twitter,BJP is neutral in 1
24-10-2024,1,DMK,Neutral,Twitter,DMK is neutral in 1
01-11-2024,1,DMK,Positive,Twitter,DMK is gaining in 1
05-11-2024,1,Congress,Neutral,Twitter,Congress is neutral in 1
17-11-2024,1,BJP,Negative,Twitter,BJP is facing challenges in 1
15-12-2024,1,BJP,Negative,YouTube,BJP is facing challenges in 1
06-12-2024,1,Congress,Positive,Twitter,Congress is gaining in 1
03-02-2025,1,DMK,Negative,YouTube,DMK is facing challenges in 1
11-02-2025,1,Congress,Positive,YouTube,Congress is gaining in 1
16-12-2024,1,BJP,Negative,YouTube,BJP is facing challenges in 1
16-12-2024,1,ADMK,Negative,YouTube,ADMK is facing challenges in 1
27-02-2025,1,ADMK,Negative,Twitter,ADMK is facing challenges in 1
28-12-2024,1,ADMK,Negative,YouTube,ADMK is facing challenges in 1
15-11-2024,1,BJP,Positive,YouTube,BJP is gaining in 1
28-01-2025,1,TVK,Positive,Twitter,TVK is gaining in 1
06-10-2024,1,DMK,Negative,YouTube,DMK is facing challenges in 1
22-10-2024,1,BJP,Negative,Twitter,BJP is facing challenges in 1
06-12-2024,1,TVK,Positive,Twitter,TVK is gaining in 1
28-11-2024,1,DMK,Negative,Twitter,DMK is facing challenges in 1
07-10-2024,1,ADMK,Negative,YouTube,ADMK is facing challenges in 1
23-10-2024,1,BJP,Negative,Twitter,BJP is facing challenges in 1
22-10-2024,1,ADMK,Neutral,YouTube,ADMK is neutral in 1
12-12-2024,2,ADMK,Negative,YouTube,ADMK is facing challenges in 2
01-11-2024,2,Congress,Negative,Twitter,Congress is facing challenges in 2
24-11-2024,2,Congress,Negative,YouTube,Congress is facing challenges in 2
27-12-2024,2,TVK,Positive,YouTube,TVK is gaining in 2
19-12-2024,2,Congress,Neutral,Twitter,Congress is neutral in 2
13-01-2025,2,BJP,Negative,Twitter,BJP is facing challenges in 2
10-01-2025,2,Congress,Negative,YouTube,Congress is facing challenges in 2
17-12-2024,2,Congress,Neutral,YouTube,Congress is neutral in 2
20-12-2024,2,Congress,Neutral,Twitter,Congress is neutral in 2
05-12-2024,2,BJP,Neutral,YouTube,BJP is neutral in 2
20-02-2025,2,Congress,Positive,YouTube,Congress is gaining in 2
18-10-2024,2,Congress,Negative,YouTube,Congress is facing challenges in 2
24-11-2024,2,DMK,Neutral,YouTube,DMK is neutral in 2
31-10-2024,2,DMK,Positive,YouTube,DMK is gaining in 2
06-11-2024,2,ADMK,Negative,Twitter,ADMK is facing challenges in 2
10-02-2025,2,Congress,Negative,Twitter,Congress is facing challenges in 2
05-12-2024,2,BJP,Neutral,Twitter,BJP is neutral in 2
23-10-2024,2,TVK,Positive,Twitter,TVK is gaining in 2
11-12-2024,2,DMK,Positive,Twitter,DMK is gaining in 2
05-01-2025,2,Congress,Negative,Twitter,Congress is facing challenges in 2
31-10-2024,2,DMK,Neutral,YouTube,DMK is neutral in 2
30-12-2024,2,BJP,Negative,YouTube,BJP is facing challenges in 2
06-01-2025,2,DMK,Positive,YouTube,DMK is gaining in 2
25-11-2024,2,Congress,Neutral,YouTube,Congress is neutral in 2
17-02-2025,2,TVK,Positive,YouTube,TVK is gaining in 2
15-12-2024,2,ADMK,Positive,YouTube,ADMK is gaining in 2
13-10-2024,2,ADMK,Negative,Twitter,ADMK is facing challenges in 2
10-12-2024,2,ADMK,Negative,YouTube,ADMK is facing challenges in 2
08-11-2024,2,DMK,Neutral,Twitter,DMK is neutral in 2
06-12-2024,2,BJP,Negative,Twitter,BJP is facing challenges in 2
18-01-2025,2,DMK,Neutral,Twitter,DMK is neutral in 2
26-11-2024,2,ADMK,Positive,YouTube,ADMK is gaining in 2
08-02-2025,2,TVK,Neutral,YouTube,TVK is neutral in 2
23-01-2025,2,TVK,Positive,Twitter,TVK is gaining in 2
21-10-2024,2,BJP,Negative,YouTube,BJP is facing challenges in 2
28-12-2024,2,BJP,Positive,Twitter,BJP is gaining in 2
18-11-2024,2,DMK,Negative,Twitter,DMK is facing challenges in 2
08-10-2024,2,TVK,Neutral,YouTube,TVK is neutral in 2
01-01-2025,2,BJP,Positive,YouTube,BJP is gaining in 2
19-12-2024,2,Congress,Negative,Twitter,Congress is facing challenges in 2
27-02-2025,2,DMK,Negative,Twitter,DMK is facing challenges in 2
04-01-2025,2,TVK,Negative,Twitter,TVK is facing challenges in 2
13-01-2025,2,BJP,Neutral,YouTube,BJP is neutral in 2
14-01-2025,2,ADMK,Neutral,Twitter,ADMK is neutral in 2
12-02-2025,2,ADMK,Positive,YouTube,ADMK is gaining in 2
03-12-2024,2,TVK,Positive,YouTube,TVK is gaining in 2
05-12-2024,2,Congress,Negative,YouTube,Congress is facing challenges in 2
03-11-2024,2,BJP,Neutral,YouTube,BJP is neutral in 2
09-11-2024,2,TVK,Neutral,Twitter,TVK is neutral in 2
14-01-2025,2,Congress,Positive,YouTube,Congress is gaining in 2
13-12-2024,2,ADMK,Negative,Twitter,ADMK is facing challenges in 2
11-02-2025,2,TVK,Negative,Twitter,TVK is facing challenges in 2
28-12-2024,2,DMK,Negative,YouTube,DMK is facing challenges in 2
23-01-2025,2,BJP,Negative,Twitter,BJP is facing challenges in 2
03-02-2025,2,ADMK,Positive,Twitter,ADMK is gaining in 2
10-12-2024,2,TVK,Positive,YouTube,TVK is gaining in 2
13-12-2024,2,Congress,Negative,YouTube,Congress is facing challenges in 2
18-10-2024,2,BJP,Neutral,Twitter,BJP is neutral in 2
03-02-2025,2,BJP,Negative,Twitter,BJP is facing challenges in 2
24-10-2024,2,BJP,Neutral,YouTube,BJP is neutral in 2
21-10-2024,2,BJP,Negative,Twitter,BJP is facing challenges in 2
08-02-2025,2,DMK,Positive,Twitter,DMK is gaining in 2
29-11-2024,2,DMK,Positive,YouTube,DMK is gaining in 2
28-01-2025,2,BJP,Negative,Twitter,BJP is facing challenges in 2
18-02-2025,2,BJP,Negative,YouTube,BJP is facing challenges in 2
02-02-2025,2,TVK,Neutral,Twitter,TVK is neutral in 2
27-12-2024,2,ADMK,Neutral,Twitter,ADMK is neutral in 2
29-12-2024,2,DMK,Neutral,YouTube,DMK is neutral in 2
29-10-2024,2,TVK,Neutral,YouTube,TVK is neutral in 2
20-10-2024,2,TVK,Positive,Twitter,TVK is gaining in 2
02-10-2024,2,TVK,Positive,YouTube,TVK is gaining in 2
29-11-2024,2,ADMK,Neutral,YouTube,ADMK is neutral in 2
28-10-2024,2,ADMK,Negative,Twitter,ADMK is facing challenges in 2
19-11-2024,2,ADMK,Positive,YouTube,ADMK is gaining in 2
31-01-2025,2,ADMK,Positive,YouTube,ADMK is gaining in 2
01-02-2025,2,BJP,Negative,Twitter,BJP is facing challenges in 2
13-02-2025,2,TVK,Positive,Twitter,TVK is gaining in 2
21-11-2024,2,ADMK,Negative,YouTube,ADMK is facing challenges in 2
05-12-2024,2,ADMK,Positive,Twitter,ADMK is gaining in 2
12-01-2025,2,ADMK,Neutral,Twitter,ADMK is neutral in 2
02-10-2024,2,TVK,Neutral,Twitter,TVK is neutral in 2
14-12-2024,2,ADMK,Neutral,Twitter,ADMK is neutral in 2
21-02-2025,2,Congress,Neutral,Twitter,Congress is neutral in 2
27-12-2024,2,TVK,Negative,Twitter,TVK is facing challenges in 2
13-01-2025,2,DMK,Positive,YouTube,DMK is gaining in 2
20-02-2025,2,Congress,Negative,Twitter,Congress is facing challenges in 2
21-12-2024,2,ADMK,Neutral,YouTube,ADMK is neutral in 2
18-12-2024,2,DMK,Negative,Twitter,DMK is facing challenges in 2
22-02-2025,2,Congress,Negative,YouTube,Congress is facing challenges in 2
17-01-2025,2,Congress,Neutral,YouTube,Congress is neutral in 2
23-02-2025,2,Congress,Positive,YouTube,Congress is gaining in 2
17-02-2025,2,DMK,Positive,Twitter,DMK is gaining in 2
20-02-2025,2,DMK,Neutral,YouTube,DMK is neutral in 2
23-02-2025,2,ADMK,Negative,YouTube,ADMK is facing challenges in 2
09-12-2024,2,BJP,Positive,Twitter,BJP is gaining in 2
02-10-2024,2,ADMK,Positive,YouTube,ADMK is gaining in 2
29-10-2024,2,DMK,Positive,YouTube,DMK is gaining in 2
31-12-2024,2,ADMK,Negative,Twitter,ADMK is facing challenges in 2
11-01-2025,2,Congress,Negative,Twitter,Congress is facing challenges in 2
07-11-2024,2,DMK,Neutral,Twitter,DMK is neutral in 2
10-11-2024,2,DMK,Negative,Twitter,DMK is facing challenges in 2
15-01-2025,2,ADMK,Neutral,YouTube,ADMK is neutral in 2
25-12-2024,2,DMK,Positive,YouTube,DMK is gaining in 2
02-10-2024,2,BJP,Negative,YouTube,BJP is facing challenges in 2
18-11-2024,2,DMK,Neutral,YouTube,DMK is neutral in 2
26-10-2024,2,TVK,Neutral,YouTube,TVK is neutral in 2
15-01-2025,2,DMK,Neutral,Twitter,DMK is neutral in 2
04-11-2024,2,ADMK,Positive,Twitter,ADMK is gaining in 2
22-12-2024,2,BJP,Positive,Twitter,BJP is gaining in 2
18-12-2024,2,BJP,Neutral,YouTube,BJP is neutral in 2
28-01-2025,2,BJP,Negative,YouTube,BJP is facing challenges in 2
18-10-2024,2,Congress,Negative,Twitter,Congress is facing challenges in 2
19-01-2025,2,ADMK,Neutral,YouTube,ADMK is neutral in 2
19-11-2024,2,DMK,Positive,Twitter,DMK is gaining in 2
26-10-2024,2,TVK,Negative,Twitter,TVK is facing challenges in 2
18-10-2024,2,ADMK,Positive,Twitter,ADMK is gaining in 2
31-01-2025,2,DMK,Negative,YouTube,DMK is facing challenges in 2
04-12-2024,2,TVK,Positive,YouTube,TVK is gaining in 2
23-02-2025,2,ADMK,Negative,YouTube,ADMK is facing challenges in 2
13-01-2025,2,BJP,Neutral,YouTube,BJP is neutral in 2
12-12-2024,2,DMK,Neutral,Twitter,DMK is neutral in 2
23-02-2025,2,DMK,Neutral,Twitter,DMK is neutral in 2
24-01-2025,2,ADMK,Negative,Twitter,ADMK is facing challenges in 2
28-11-2024,2,ADMK,Negative,Twitter,ADMK is facing challenges in 2
12-10-2024,2,ADMK,Neutral,YouTube,ADMK is neutral in 2
16-11-2024,2,TVK,Positive,YouTube,TVK is gaining in 2
27-10-2024,2,ADMK,Neutral,YouTube,ADMK is neutral in 2
27-01-2025,2,DMK,Positive,YouTube,DMK is gaining in 2
03-11-2024,2,TVK,Positive,YouTube,TVK is gaining in 2
31-10-2024,2,BJP,Negative,Twitter,BJP is facing challenges in 2
27-12-2024,2,DMK,Positive,Twitter,DMK is gaining in 2
26-12-2024,2,Congress,Neutral,YouTube,Congress is neutral in 2
07-02-2025,2,BJP,Neutral,YouTube,BJP is neutral in 2
05-10-2024,2,TVK,Positive,Twitter,TVK is gaining in 2
28-01-2025,2,BJP,Negative,YouTube,BJP is facing challenges in 2
09-01-2025,2,BJP,Neutral,Twitter,BJP is neutral in 2
12-02-2025,2,TVK,Positive,YouTube,TVK is gaining in 2
10-01-2025,2,BJP,Negative,YouTube,BJP is facing challenges in 2
14-11-2024,2,ADMK,Neutral,YouTube,ADMK is neutral in 2
14-02-2025,2,ADMK,Positive,YouTube,ADMK is gaining in 2
02-10-2024,2,Congress,Negative,YouTube,Congress is facing challenges in 2
26-10-2024,2,TVK,Positive,Twitter,TVK is gaining in 2
31-01-2025,2,ADMK,Neutral,YouTube,ADMK is neutral in 2
15-12-2024,2,DMK,Negative,Twitter,DMK is facing challenges in 2
18-11-2024,2,TVK,Neutral,Twitter,TVK is neutral in 2
10-11-2024,2,ADMK,Negative,Twitter,ADMK is facing challenges in 2
22-01-2025,2,ADMK,Negative,Twitter,ADMK is facing challenges in 2
28-11-2024,2,Congress,Negative,Twitter,Congress is facing challenges in 2
17-11-2024,2,ADMK,Neutral,Twitter,ADMK is neutral in 2
06-10-2024,2,TVK,Positive,Twitter,TVK is gaining in 2
16-12-2024,2,DMK,Positive,YouTube,DMK is gaining in 2
06-10-2024,2,TVK,Negative,YouTube,TVK is facing challenges in 2
25-02-2025,2,Congress,Neutral,Twitter,Congress is neutral in 2
08-11-2024,2,TVK,Negative,YouTube,TVK is facing challenges in 2
07-10-2024,2,DMK,Negative,Twitter,DMK is facing challenges in 2
15-11-2024,2,DMK,Positive,YouTube,DMK is gaining in 2
10-11-2024,2,TVK,Positive,YouTube,TVK is gaining in 2
21-11-2024,2,Congress,Negative,YouTube,Congress is facing challenges in 2
22-02-2025,2,TVK,Negative,YouTube,TVK is facing challenges in 2
08-11-2024,2,ADMK,Negative,YouTube,ADMK is facing challenges in 2
29-10-2024,2,Congress,Positive,YouTube,Congress is gaining in 2
10-01-2025,2,ADMK,Negative,YouTube,ADMK is facing challenges in 2
10-01-2025,2,DMK,Positive,Twitter,DMK is gaining in 2
14-12-2024,2,Congress,Negative,Twitter,Congress is facing challenges in 2
06-02-2025,2,DMK,Negative,Twitter,DMK is facing challenges in 2
14-02-2025,2,DMK,Negative,YouTube,DMK is facing challenges in 2
10-02-2025,2,BJP,Negative,YouTube,BJP is facing challenges in 2
29-10-2024,2,DMK,Negative,Twitter,DMK is facing challenges in 2
07-01-2025,2,TVK,Positive,Twitter,TVK is gaining in 2
12-01-2025,2,Congress,Negative,Twitter,Congress is facing challenges in 2
03-11-2024,2,Congress,Positive,Twitter,Congress is gaining in 2
26-10-2024,2,ADMK,Negative,YouTube,ADMK is facing challenges in 2
07-02-2025,2,ADMK,Neutral,Twitter,ADMK is neutral in 2
10-11-2024,2,TVK,Neutral,Twitter,TVK is neutral in 2
04-11-2024,2,BJP,Negative,Twitter,BJP is facing challenges in 2
28-01-2025,2,Congress,Negative,Twitter,Congress is facing challenges in 2
20-01-2025,2,ADMK,Neutral,Twitter,ADMK is neutral in 2
02-02-2025,2,TVK,Negative,YouTube,TVK is facing challenges in 2
27-12-2024,2,DMK,Neutral,Twitter,DMK is neutral in 2
18-12-2024,2,TVK,Positive,YouTube,TVK is gaining in 2
28-12-2024,2,Congress,Neutral,Twitter,Congress is neutral in 2
06-11-2024,2,ADMK,Negative,Twitter,ADMK is facing challenges in 2
22-12-2024,2,TVK,Positive,Twitter,TVK is gaining in 2
21-12-2024,2,TVK,Neutral,YouTube,TVK is neutral in 2
11-01-2025,2,TVK,Positive,YouTube,TVK is gaining in 2
04-02-2025,2,TVK,Negative,YouTube,TVK is facing challenges in 2
25-10-2024,2,TVK,Negative,Twitter,TVK is facing challenges in 2
21-11-2024,2,Congress,Negative,YouTube,Congress is facing challenges in 2
02-01-2025,2,Congress,Negative,Twitter,Congress is facing challenges in 2
05-10-2024,2,Congress,Negative,YouTube,Congress is facing challenges in 2
06-02-2025,2,TVK,Positive,YouTube,TVK is gaining in 2
20-02-2025,2,DMK,Negative,Twitter,DMK is facing challenges in 2
17-01-2025,2,TVK,Positive,YouTube,TVK is gaining in 2
29-01-2025,2,BJP,Positive,Twitter,BJP is gaining in 2
01-12-2024,2,Congress,Neutral,YouTube,Congress is neutral in 2
28-11-2024,2,Congress,Negative,YouTube,Congress is facing challenges in 2
01-12-2024,2,ADMK,Negative,Twitter,ADMK is facing challenges in 2
03-02-2025,2,TVK,Positive,YouTube,TVK is gaining in 2
19-02-2025,2,TVK,Neutral,YouTube,TVK is neutral in 2
24-01-2025,2,DMK,Positive,YouTube,DMK is gaining in 2
08-12-2024,2,BJP,Negative,Twitter,BJP is facing challenges in 2
11-01-2025,2,TVK,Positive,Twitter,TVK is gaining in 2
29-11-2024,2,BJP,Positive,Twitter,BJP is gaining in 2
20-12-2024,2,ADMK,Neutral,YouTube,ADMK is neutral in 2
06-01-2025,2,BJP,Neutral,YouTube,BJP is neutral in 2
19-11-2024,2,BJP,Neutral,YouTube,BJP is neutral in 2
19-11-2024,2,Congress,Neutral,Twitter,Congress is neutral in 2
10-10-2024,2,Congress,Negative,Twitter,Congress is facing challenges in 2
21-02-2025,2,TVK,Positive,Twitter,TVK is gaining in 2
16-12-2024,2,DMK,Neutral,YouTube,DMK is neutral in 2
30-12-2024,2,Congress,Negative,YouTube,Congress is facing challenges in 2
19-10-2024,2,DMK,Neutral,YouTube,DMK is neutral in 2
13-02-2025,2,TVK,Positive,Twitter,TVK is gaining in 2
15-12-2024,2,BJP,Neutral,YouTube,BJP is neutral in 2
01-12-2024,2,ADMK,Neutral,Twitter,ADMK is neutral in 2
28-10-2024,2,BJP,Negative,Twitter,BJP is facing challenges in 2
26-01-2025,2,ADMK,Neutral,YouTube,ADMK is neutral in 2
20-11-2024,2,DMK,Positive,Twitter,DMK is gaining in 2
28-10-2024,2,TVK,Positive,YouTube,TVK is gaining in 2
16-02-2025,2,Congress,Negative,YouTube,Congress is facing challenges in 2
02-12-2024,2,ADMK,Neutral,YouTube,ADMK is neutral in 2
15-12-2024,2,ADMK,Negative,Twitter,ADMK is facing challenges in 2
11-12-2024,2,TVK,Positive,YouTube,TVK is gaining in 2
20-10-2024,2,ADMK,Negative,YouTube,ADMK is facing challenges in 2
05-11-2024,2,Congress,Neutral,YouTube,Congress is neutral in 2
16-02-2025,2,ADMK,Negative,YouTube,ADMK is facing challenges in 2
06-10-2024,3,BJP,Negative,Twitter,BJP is facing challenges in 3
31-10-2024,3,DMK,Negative,YouTube,DMK is facing challenges in 3
10-01-2025,3,DMK,Negative,Twitter,DMK is facing challenges in 3
